District,Code,State,Trump2016,Clinton2016,Obama2012,Romney2012,Obama2008,McCain2008,raw16PVI,raw12PVI,raw08PVI,raw16PVIuse,raw12PVIuse,raw08PVIuse,Trump2016vote,Clinton2016vote
Alaska At-Large,AK-01,Alaska,51.2815120775373,36.550871290112,41.2062158756825,55.330029399412,38.9352150834029,61.0647849165971,-9.5,-9.3,-14.8,9.5,9.3,14.8,163387,116454
Alabama 1st,AL-01,Alabama,63.4754413829009,34.0598000514041,37.3899483665008,61.835047199644,38.6934153632627,61.3065846367373,-16.2,-14.3,-15,16.2,14.3,15,192634,103364
Alabama 2nd,AL-02,Alabama,64.938179119525,33.010459840932,36.4212182264786,62.8870780779952,35.1886923826765,64.8113076173235,-17.4,-15.3,-18.5,17.4,15.3,18.5,185505,94299
Alabama 3rd,AL-03,Alabama,65.2675430091143,32.3087791229188,36.8006768334476,62.2804575051405,36.9101213995816,63.0898786004184,-18,-14.8,-16.8,18,14.8,16.8,188477,93300
Alabama 4th,AL-04,Alabama,80.371552595915,17.4466679966704,23.9769767399501,74.8339738802572,25.8322493441563,74.1677506558437,-33.3,-27.7,-27.9,33.3,27.7,27.9,233661,50722
Alabama 5th,AL-05,Alabama,64.7134740285929,31.3479836224781,34.8506204943098,63.8693682025681,36.7424372489098,63.2575627510902,-18.5,-16.7,-16.9,18.5,16.7,16.9,200571,97159
Alabama 6th,AL-06,Alabama,70.7878453474165,26.1077038281153,24.6600051536061,74.3029111511947,25.2436512501486,74.7563487498514,-24.2,-27,-28.4,24.2,27,28.4,233493,86116
Alabama 7th,AL-07,Alabama,28.617369923371,69.7695673376962,72.412480491302,27.1180418977046,71.7588131469732,28.2411868530268,19.8,20.8,18.1,-19.8,-20.8,-18.1,83915,204586
Arkansas 1st,AR-01,Arkansas,64.9892412078998,30.1813844129842,36.3315780924021,60.9757081706519,40.3279023363238,59.6720976636762,-19.4,-14.6,-13.4,19.4,14.6,13.4,169438,78688
Arkansas 2nd,AR-02,Arkansas,52.3764227589307,41.6592284688606,42.9130130078799,54.7459104661299,45.1595855642862,54.8404144357138,-6.8,-8,-8.5,6.8,8,8.5,160782,127883
Arkansas 3rd,AR-03,Arkansas,61.9246790319103,30.4901715823017,31.5960848844249,65.473011782604,34.6558070453004,65.3441929546996,-18.1,-19.4,-19,18.1,19.4,19,180921,89081
Arkansas 4th,AR-04,Arkansas,64.1592283062696,31.3323312935546,35.8818705493209,61.8271305004245,38.4263420516292,61.5736579483708,-18.3,-15.2,-15.3,18.3,15.2,15.3,173731,84842
Arizona 1st,AZ-01,Arizona,47.6985538980886,46.6268734230962,47.8935306241733,50.4179868951303,48.4016092053467,51.5983907946533,-1.7,-3.2,-5.3,1.7,3.2,5.3,135928,132874
Arizona 2nd,AZ-02,Arizona,44.7050554238077,49.6062867473618,48.371822977667,49.9350998194807,49.5289274646778,50.4710725353222,1.5,-2.8,-4.2,-1.5,2.8,4.2,141196,156676
Arizona 3rd,AZ-03,Arizona,32.5231891410685,62.4436424899729,61.4404675934284,36.9437172774869,58.8210391423243,41.1789608576757,14.6,10.5,5.1,-14.6,-10.5,-5.1,67952,130466
Arizona 4th,AZ-04,Arizona,67.6899521915821,27.5365766224542,31.0157878827806,67.1949962409803,34.8860041453038,65.1139958546962,-22.2,-20.4,-18.8,22.2,20.4,18.8,202043,82192
Arizona 5th,AZ-05,Arizona,57.6440936725556,36.5198905125974,34.5571714530822,63.7634979642415,36.6788913181466,63.3211086818534,-12.3,-16.8,-17,12.3,16.8,17,191432,121280
Arizona 6th,AZ-06,Arizona,52.4137604889886,42.4350709807851,38.8176135946678,59.5171927495956,41.6466298180239,58.3533701819761,-6.4,-12.5,-12,6.4,12.5,12,177332,143571
Arizona 7th,AZ-07,Arizona,22.6473397040128,71.7510447143839,71.6983542336435,26.5089740041304,65.5019804996953,34.4980195003047,24.9,21,11.8,-24.9,-21,-11.8,37232,117958
Arizona 8th,AZ-08,Arizona,58.0960818758115,36.9638738257084,36.8689158646085,61.6760440496555,38.7933755602786,61.2066244397214,-12.2,-14.6,-14.9,12.2,14.6,14.9,190163,120992
Arizona 9th,AZ-09,Arizona,38.4421358190395,54.6594660100119,51.1197710942195,46.5911711010232,51.9693832273332,48.0306167726668,7.6,.4,-1.7,-7.6,-.4,1.7,109123,155158
California 1st,CA-01,California,56.1706925546553,36.540985068542,40.2657866336764,56.5601063409755,44.0296387929892,55.9703612070108,-11.7,-10.4,-9.7,11.7,10.4,9.7,176358,114727
California 2nd,CA-02,California,23.3483394256329,69.0368175875653,69.0410926038112,26.9636098631846,73.718078141134,26.281921858866,23.6,19.9,20,-23.6,-19.9,-20,80545,238157
California 3rd,CA-03,California,40.3913219324954,52.9910029532291,54.3003967942008,43.0908571830508,56.1418330155205,43.8581669844795,5.6,3.8,2.5,-5.6,-3.8,-2.5,105860,138882
California 4th,CA-04,California,54.0267354862078,39.2741123071525,39.5318599430152,57.8691719435839,44.4608808044396,55.5391191955604,-9,-11.4,-9.2,9,11.4,9.2,190924,138790
California 5th,CA-05,California,24.2870068053971,69.1521445524042,69.7430387430318,27.4553649296374,72.4680802477013,27.5319197522987,22.9,19.8,18.8,-22.9,-19.8,-18.8,74088,210950
California 6th,CA-06,California,24.4143331556722,69.1595260546923,69.140640567504,28.2786685618892,69.7586568730325,30.2413431269675,22.8,19,16.1,-22.8,-19,-16.1,59549,168687
California 7th,CA-07,California,40.8555231850795,52.3040398792574,50.7512316562761,46.8144770749344,52.743957151337,47.256042848663,5,.1,-.9,-5,-.1,.9,124249,159066
California 8th,CA-08,California,54.744346855069,39.6134601756609,41.6581621855497,55.6254203251612,43.5259315674109,56.4740684325891,-9.1,-9.1,-10.2,9.1,9.1,10.2,127464,92234
California 9th,CA-09,California,37.9880012259069,56.5592318769391,57.835251824685,40.1262754638876,58.0079230333899,41.9920769666101,8.7,7.1,4.3,-8.7,-7.1,-4.3,90484,134719
California 10th,CA-10,California,45.537800400534,48.5376335113485,50.6352475210703,47.0264465652936,51.4338442752611,48.5661557247389,.5,-.1,-2.3,-.5,.1,2.3,109145,116335
California 11th,CA-11,California,22.67314632336,71.5233165263239,67.6439724508026,29.9620766834698,70.7260610770271,29.2739389229729,24.8,17.3,17,-24.8,-17.3,-17,70869,223559
California 12th,CA-12,California,8.68457580538166,86.1882410654061,84.1048481992091,12.4858374403456,86.7705710120131,13.2294289879869,39.7,35.1,33.1,-39.7,-35.1,-33.1,31158,309221
California 13th,CA-13,California,6.80532864144778,87.3522564737847,87.5222810579993,8.96922765528183,89.7214422463306,10.2785577536694,41.7,38.7,36,-41.7,-38.7,-36,22743,291926
California 14th,CA-14,California,18.2133585004517,76.9146545846586,74.2335539235666,23.5617788514981,74.9645177036008,25.0354822963992,29.7,23.9,21.3,-29.7,-23.9,-21.3,54229,229008
California 15th,CA-15,California,24.1825287485591,69.9257738915287,68.0105597998549,29.8329694448815,68.9670579326013,31.0329420673987,23.2,17.5,15.3,-23.2,-17.5,-15.3,68808,198964
California 16th,CA-16,California,36.3682897554776,57.9558024052152,58.5529736168421,39.359538804762,59.4303959821248,40.5696040178752,10.3,7.8,5.7,-10.3,-7.8,-5.7,61813,98504
California 17th,CA-17,California,20.4772914614287,73.9061903134361,71.9305022694749,25.544981255981,71.2176757866934,28.7823242133066,27.2,21.8,17.5,-27.2,-21.8,-17.5,50926,183801
California 18th,CA-18,California,20.2328592997511,73.4070741008182,68.232717488228,28.9276160380458,71.8011071631037,28.1988928368963,27.3,18.3,18.1,-27.3,-18.3,-18.1,67808,246015
California 19th,CA-19,California,21.4929509673012,72.9078036207807,71.2134640039235,26.5197339551372,69.9056902279958,30.0943097720041,26.1,20.9,16.2,-26.1,-20.9,-16.2,55371,187828
California 20th,CA-20,California,23.221900848997,70.3544893933842,70.8883490461146,26.1923043034979,73.4236992425704,26.5763007574296,24.1,21.1,19.7,-24.1,-21.1,-19.7,59573,180486
California 21st,CA-21,California,39.6663272030192,55.2424669022944,54.6380166398282,43.5428408480945,53.6276149613361,46.3723850386639,7.1,3.7,-.1,-7.1,-3.7,.1,52972,73773
California 22nd,CA-22,California,52.0906815692709,42.5973506789874,41.5789188260921,56.5862851254982,43.8231867504283,56.1768132495717,-6.1,-9.6,-9.9,6.1,9.6,9.9,125089,102292
California 23rd,CA-23,California,58.1347196811291,36.066551228437,36.1285014760424,61.512470468154,37.460861526117,62.539138473883,-12.8,-15,-16.2,12.8,15,16.2,142351,88314
California 24th,CA-24,California,36.4835340850846,56.6949641209636,54.0751557765572,43.1075285732851,57.8305230018626,42.1694769981374,9.7,3.7,4.1,-9.7,-3.7,-4.1,113887,176979
California 25th,CA-25,California,43.6460994517199,50.3228191407594,47.8499419224655,49.6564902140345,50.7394466422728,49.2605533577272,2.4,-2.9,-2.9,-2.4,2.9,2.9,119249,137491
California 26th,CA-26,California,36.0189849160941,57.8591666894796,53.9940141861595,43.7340807682891,57.7533406572891,42.2466593427109,10.5,3.3,4.1,-10.5,-3.3,-4.1,105259,169083
California 27th,CA-27,California,28.3529829921427,65.9986538912374,62.6150327557468,34.9955421173005,63.0718916879167,36.9281083120833,18.8,12.2,9.4,-18.8,-12.2,-9.4,74984,174544
California 28th,CA-28,California,22.3357326087107,72.1321053468578,70.3005685824445,26.5377229698306,72.0922462402487,27.9077537597513,25.2,20.6,18.4,-25.2,-20.6,-18.4,64607,208645
California 29th,CA-29,California,16.8010560867704,77.7370588595078,77.028870265473,20.5218924408389,76.0158689496168,23.9841310503832,31.1,27,22.3,-31.1,-27,-22.3,32963,152517
California 30th,CA-30,California,25.66040851373,69.0705239345453,65.3169767132029,32.1429322712516,67.3339439946895,32.6660560053105,21.8,15.1,13.6,-21.8,-15.1,-13.6,77701,209149
California 31st,CA-31,California,36.5786081066317,57.6685239812083,57.2351897285713,40.6425461351228,57.9954706407316,42.0045293592684,10.1,6.5,4.3,-10.1,-6.5,-4.3,83701,131960
California 32nd,CA-32,California,27.6855748343528,66.5583559801132,65.1719898711362,32.4579147666884,64.3492222682957,35.6507777317043,19.5,14.8,10.7,-19.5,-14.8,-10.7,60921,146459
California 33rd,CA-33,California,26.478325614515,67.8112558173706,60.6082469466442,36.7733128621892,65.5366441727419,34.4633558272581,20.8,10.3,11.8,-20.8,-10.3,-11.8,93706,239982
California 34th,CA-34,California,10.7171683793696,83.5634693203179,82.9608520549906,14.1438786198999,79.6242976752406,20.3757023247594,37.5,33.5,25.9,-37.5,-33.5,-25.9,19784,154259
