"","District","Code","State","Trump2016","Clinton2016","Obama2012","Romney2012","Obama2008","McCain2008","raw16PVI","raw12PVI","raw08PVI","raw16PVIuse","raw12PVIuse","raw08PVIuse","Trump2016vote","Clinton2016vote","PVI2016","dem5.cd.turnout","dem4.cd.turnout","dem3.cd.turnout","dem2.cd.turnout","dem1.cd.turnout","rep5.cd.turnout","rep4.cd.turnout","rep3.cd.turnout","rep2.cd.turnout","rep1.cd.turnout","demavg.cd.turnout","repavg.cd.turnout","ClintonPredictedGainAvg5","ClintonPredictedLossAvg5","TrumpPredictedGainAvg5","TrumpPredictedLossAvg5","ClintonGainVLossAvg5","TrumpGainVLossAvg5","RelativeClintonGainVLossAvg5","ClintonPredictedGainAvg3","ClintonPredictedLossAvg3","TrumpPredictedGainAvg3","TrumpPredictedLossAvg3","ClintonGainVLossAvg3","TrumpGainVLossAvg3","RelativeClintonGainVLossAvg3","ClintonPredictedGainAvg1","ClintonPredictedLossAvg1","TrumpPredictedGainAvg1","TrumpPredictedLossAvg1","ClintonGainVLossAvg1","TrumpGainVLossAvg1","RelativeClintonGainVLossAvg1","ClintonPredictedGainAvgAvg","ClintonPredictedLossAvgAvg","TrumpPredictedGainAvgAvg","TrumpPredictedLossAvgAvg","ClintonGainVLossAvgAvg","TrumpGainVLossAvgAvg","RelativeClintonGainVLossAvgAvg","ClintonPredictedGainExt5","ClintonPredictedLossExt5","TrumpPredictedGainExt5","TrumpPredictedLossExt5","ClintonGainVLossExt5","TrumpGainVLossExt5","RelativeClintonGainVLossExt5","ClintonPredictedGainExt3","ClintonPredictedLossExt3","TrumpPredictedGainExt3","TrumpPredictedLossExt3","ClintonGainVLossExt3","TrumpGainVLossExt3","RelativeClintonGainVLossExt3","ClintonPredictedGainExt1","ClintonPredictedLossExt1","TrumpPredictedGainExt1","TrumpPredictedLossExt1","ClintonGainVLossExt1","TrumpGainVLossExt1","RelativeClintonGainVLossExt1","ClintonPredictedGainExtAvg","ClintonPredictedLossExtAvg","TrumpPredictedGainExtAvg","TrumpPredictedLossExtAvg","ClintonGainVLossExtAvg","TrumpGainVLossExtAvg","RelativeClintonGainVLossExtAvg","ActualClintonLostVotes"
"2","Alabama 1st","AL-01","Alabama",63.4754413829009,34.0598000514041,37.3899483665008,61.835047199644,38.6934153632627,61.3065846367373,-16.2,-14.3,-15,16.2,14.3,15,192634,103364,16.2,0.608418862183755,0.613422343786092,0.618401991046762,0.623356878662603,0.628286101422878,0.657274452603491,0.652517035580193,0.647728973958651,0.642911041605642,0.63806403538902,0.618377235420418,0.647699107827399,14618,1499,-2848,-30563,16117,-33411,49528,8299,833,-1829,-19299,9132,-21128,30260,2017,198,-757,-7843,2215,-8600,10815,8258,836,-1823,-19335,9094,-21158,30252,25121,-8306,14723,-56778,16815,-42055,58870,14666,-4582,9645,-35792,10084,-26147,36231,3647,-1080,4060,-14411,2567,-10351,12918,14438,-4608,9557,-35851,9830,-26294,36124,89270
"3","Alabama 2nd","AL-02","Alabama",64.938179119525,33.010459840932,36.4212182264786,62.8870780779952,35.1886923826765,64.8113076173235,-17.4,-15.3,-18.5,17.4,15.3,18.5,185505,94299,17.4,0.605123284719989,0.610848862016995,0.616544028024839,0.62220739444654,0.627837606688526,0.660851299506639,0.655446439140391,0.65000106252593,0.644516301060621,0.638993325453929,0.616512235179378,0.649961685537502,13922,1888,-3731,-30276,15810,-34007,49817,7879,1046,-2403,-19168,8925,-21571,30496,1909,249,-997,-7811,2158,-8808,10966,7842,1050,-2395,-19200,8892,-21595,30487,23557,-7105,13097,-55385,16452,-42288,58740,13704,-3909,8607,-34996,9795,-26389,36184,3397,-918,3634,-14128,2479,-10494,12973,13497,-3932,8526,-35050,9565,-26524,36089,91206
"4","Alabama 3rd","AL-03","Alabama",65.2675430091143,32.3087791229188,36.8006768334476,62.2804575051405,36.9101213995816,63.0898786004184,-18,-14.8,-16.8,18,14.8,16.8,188477,93300,18,0.603471884886983,0.609559791249385,0.615613764879348,0.621632135814879,0.627613276701112,0.662632891145735,0.656906739530086,0.651134566723145,0.645317716057708,0.639457581031115,0.615578170706341,0.651089898897558,14068,2129,-4288,-31185,16197,-35473,51670,7948,1178,-2766,-19769,9126,-22535,31661,1923,279,-1149,-8068,2202,-9217,11419,7912,1182,-2756,-19801,9094,-22557,31651,23626,-6794,12764,-56628,16832,-43864,60696,13720,-3732,8401,-35822,9988,-27421,37409,3395,-875,3553,-14480,2520,-10927,13447,13516,-3754,8321,-35876,9762,-27555,37317,95177
"5","Alabama 4th","AL-04","Alabama",80.371552595915,17.4466679966704,23.9769767399501,74.8339738802572,25.8322493441563,74.1677506558437,-33.3,-27.7,-27.9,33.3,27.7,27.9,233661,50722,33.3,0.560661422010243,0.57621709543183,0.591623168169649,0.60685130331971,0.621874520353882,0.706409746770439,0.693087592235083,0.679435248024737,0.665468730514509,0.651206091755988,0.591445501857063,0.679121481860151,12105,5119,-19466,-50746,17224,-70212,87436,6553,2723,-13019,-33221,9276,-46240,55516,1523,621,-5615,-14037,2144,-19652,21796,6546,2738,-12920,-33179,9284,-46099,55383,17698,-103,364,-80333,17595,-79969,97564,9818,-54,249,-52293,9764,-52044,61808,2331,-12,109,-21844,2319,-21735,24054,9717,-55,245,-52285,9662,-52040,61702,182939
"6","Alabama 5th","AL-05","Alabama",64.7134740285929,31.3479836224781,34.8506204943098,63.8693682025681,36.7424372489098,63.2575627510902,-18.5,-16.7,-16.9,18.5,16.7,16.9,200571,97159,18.5,0.602093912733277,0.608484394856404,0.614837898787635,0.621152491956966,0.627426293050926,0.664114033752158,0.658121393893555,0.652077849958964,0.645984939687893,0.6398442616399,0.614798998277042,0.652028495786494,14905,2444,-5000,-33560,17349,-38560,55909,8410,1351,-3229,-21298,9761,-24527,34288,2032,320,-1344,-8701,2352,-10045,12397,8373,1355,-3217,-21330,9728,-24547,34275,24882,-6869,13106,-60574,18013,-47468,65481,14429,-3769,8637,-38356,10660,-29719,40379,3566,-883,3657,-15522,2683,-11865,14548,14216,-3791,8553,-38412,10425,-29859,40284,103412
"7","Alabama 6th","AL-06","Alabama",70.7878453474165,26.1077038281153,24.6600051536061,74.3029111511947,25.2436512501486,74.7563487498514,-24.2,-27,-28.4,24.2,27,28.4,233493,86116,24.2,0.586275475910683,0.596152694857926,0.605952597127995,0.615668003196989,0.625291996598529,0.680766170024553,0.67181917761166,0.66274565652449,0.653550639047768,0.644239498623465,0.605868153538424,0.662624228366387,15891,4548,-11390,-43824,20439,-55214,75653,8826,2478,-7457,-28153,11304,-35610,46914,2101,578,-3147,-11654,2679,-14801,17480,8800,2488,-7419,-28168,11288,-35587,46875,24972,-3929,9172,-74504,21043,-65332,86375,14239,-2127,6135,-47692,12112,-41557,53669,3465,-491,2635,-19539,2974,-16904,19878,14055,-2141,6064,-47735,11914,-41671,53585,147377
"8","Alabama 7th","AL-07","Alabama",28.617369923371,69.7695673376962,72.412480491302,27.1180418977046,71.7588131469732,28.2411868530268,19.8,20.8,18.1,-19.8,-20.8,-18.1,83915,204586,-19.8,0.701622722273492,0.687164251427303,0.672332362985737,0.657148129143831,0.641635306219357,0.543295458933815,0.560147002568952,0.576861029580233,0.593400957430578,0.609731759367067,0.671980554409944,0.576687241576129,-2088,-24605,16104,1498,-26693,17602,-44295,-1301,-14894,9415,869,-16195,10284,-26479,-346,-3872,3554,324,-4218,3878,-8096,-1279,-14798,9441,873,-16077,10314,-26391,15940,-41434,25364,-12318,-25494,13046,-38540,10289,-24752,15027,-7198,-14463,7829,-22292,2811,-6349,5750,-2670,-3538,3080,-6618,9978,-24713,15009,-7207,-14735,7802,-22537,-120671
"1","Alaska At-Large","AK-01","Alaska",51.2815120775373,36.550871290112,41.2062158756825,55.330029399412,38.9352150834029,61.0647849165971,-9.5,-9.3,-14.8,9.5,9.3,14.8,163387,116454,9.5,0.62663061319506,0.627671270808022,0.628710746505062,0.62974903202202,0.630786119137198,0.636983020379653,0.635953293926158,0.63492232064427,0.633890108496485,0.632856665489012,0.628709556333472,0.634921081787116,12606,-1745,2713,-21543,10861,-18830,29691,7288,-986,1713,-13403,6302,-11690,17992,1802,-239,697,-5362,1563,-4665,6228,7237,-988,1711,-13441,6249,-11730,17979,24096,-12471,18090,-44487,11625,-26397,38022,14343,-6987,11641,-27675,7356,-16034,23390,3631,-1673,4816,-10980,1958,-6164,8122,14086,-7020,11558,-27731,7066,-16173,23239,46933
"13","Arizona 1st","AZ-01","Arizona",47.6985538980886,46.6268734230962,47.8935306241733,50.4179868951303,48.4016092053467,51.5983907946533,-1.7,-3.2,-5.3,1.7,3.2,5.3,135928,132874,1.7,0.647385911194702,0.643982996502566,0.640565474899108,0.637133632606014,0.633687761430108,0.612734952093827,0.616258566272396,0.619770015006609,0.623268974775561,0.626755127108567,0.640551155326499,0.619757527051392,9662,-6187,7725,-13253,3475,-5528,9003,5702,-3564,4783,-8100,2138,-3317,5455,1439,-880,1909,-3181,559,-1272,1831,5648,-3563,4784,-8130,2085,-3346,5431,22352,-18033,21025,-33096,4319,-12071,16390,13603,-10284,13244,-20263,3319,-7019,10338,3515,-2509,5369,-7900,1006,-2531,3537,13318,-10319,13176,-20310,2999,-7134,10133,3054
"14","Arizona 2nd","AZ-02","Arizona",44.7050554238077,49.6062867473618,48.371822977667,49.9350998194807,49.5289274646778,50.4710725353222,1.5,-2.8,-4.2,-1.5,2.8,4.2,141196,156676,-1.5,0.655747614098305,0.650581946807682,0.6453806843731,0.640144823602631,0.634875392714223,0.602615204483798,0.608062789869801,0.613483595345645,0.618876419239894,0.624240086724732,0.645346092319188,0.613455619132774,9250,-9201,10530,-11627,49,-1097,1146,5505,-5340,6467,-7053,165,-586,751,1400,-1328,2560,-2749,72,-189,261,5447,-5334,6471,-7082,113,-611,724,24022,-22990,24577,-32585,1032,-8008,9040,14751,-13204,15346,-19818,1547,-4472,6019,3844,-3246,6168,-7670,598,-1502,2100,14423,-13241,15278,-19863,1182,-4585,5767,-15480
"15","Arizona 3rd","AZ-03","Arizona",32.5231891410685,62.4436424899729,61.4404675934284,36.9437172774869,58.8210391423243,41.1789608576757,14.6,10.5,5.1,-14.6,-10.5,-5.1,67952,130466,-14.6,0.688943393526775,0.676979556381285,0.664779464163854,0.652355211880448,0.639720039044528,0.560353492072338,0.573918203891594,0.58737258089217,0.600697696749181,0.613875377224895,0.664555532999378,0.587243470166035,1045,-13579,10575,-893,-12534,9682,-22216,643,-8124,6271,-525,-7481,5746,-13227,169,-2086,2400,-198,-1917,2202,-4119,633,-8084,6286,-527,-7451,5759,-13210,12753,-24508,17845,-11740,-11755,6105,-17860,8118,-14482,10734,-6941,-6364,3793,-10157,2189,-3670,4166,-2606,-1481,1560,-3041,7892,-14478,10714,-6953,-6586,3761,-10347,-62514
"16","Arizona 4th","AZ-04","Arizona",67.6899521915821,27.5365766224542,31.0157878827806,67.1949962409803,34.8860041453038,65.1139958546962,-22.2,-20.4,-18.8,22.2,20.4,18.8,202043,82192,22.2,0.5918478988231,0.60049432375406,0.609078564758109,0.617595816071208,0.626041432314052,0.674972949515894,0.66704468834873,0.659020732396289,0.650904605494895,0.642700033080015,0.609011607144106,0.658928601767165,14250,3526,-8206,-36513,17776,-44719,62495,7959,1931,-5347,-23356,9890,-28703,38593,1905,453,-2245,-9624,2358,-11869,14227,7931,1939,-5323,-23377,9870,-28700,38570,22836,-4489,9739,-63288,18347,-53549,71896,13098,-2441,6481,-40359,10657,-33878,44535,3205,-567,2770,-16464,2638,-13694,16332,12922,-2457,6410,-40404,10465,-33994,44459,119851
"17","Arizona 5th","AZ-05","Arizona",57.6440936725556,36.5198905125974,34.5571714530822,63.7634979642415,36.6788913181466,63.3211086818534,-12.3,-16.8,-17,12.3,16.8,17,191432,121280,12.3,0.619060043725839,0.621741857568664,0.624416245929833,0.627083066930284,0.629742180471201,0.645527389940351,0.642917360507928,0.640298821742779,0.637671902569407,0.635036733829009,0.624408678925164,0.640290441717895,14772,-357,602,-27441,14415,-26839,41254,8476,-200,383,-17180,8276,-16797,25073,2081,-48,157,-6919,2033,-6762,8795,8424,-201,382,-17222,8223,-16840,25063,26884,-11663,18381,-53967,15221,-35586,50807,15874,-6492,11917,-33760,9382,-21843,31225,3988,-1544,4966,-13477,2444,-8511,10955,15606,-6526,11823,-33824,9080,-22001,31081,70152
"18","Arizona 6th","AZ-06","Arizona",52.4137604889886,42.4350709807851,38.8176135946678,59.5171927495956,41.6466298180239,58.3533701819761,-6.4,-12.5,-12,6.4,12.5,12,177332,143571,6.4,0.634940405515459,0.634191395921237,0.633441736748512,0.632691431067514,0.631940481960525,0.627421449488038,0.628176193753648,0.628930313337618,0.629683805086261,0.630436665857684,0.633441090242649,0.62892968550465,13459,-4002,5691,-21036,9457,-15345,24802,7845,-2279,3567,-12996,5566,-9429,14995,1956,-556,1440,-5162,1400,-3722,5122,7783,-2281,3564,-13038,5502,-9474,14976,27439,-17052,22636,-46317,10387,-23681,34068,16478,-9622,14444,-28633,6856,-14189,21045,4206,-2321,5928,-11282,1885,-5354,7239,16164,-9663,14353,-28696,6501,-14343,20844,33761
"19","Arizona 7th","AZ-07","Arizona",22.6473397040128,71.7510447143839,71.6983542336435,26.5089740041304,65.5019804996953,34.4980195003047,24.9,21,11.8,-24.9,-21,-11.8,37232,117958,-24.9,0.71376466791549,0.696980737756829,0.679654351754251,0.661817959128807,0.643509362453198,0.526465990462889,0.546549953745052,0.566483525118508,0.586204253569981,0.60565238287586,0.679145415801715,0.566271221154458,-3190,-15952,8564,1876,-19142,10440,-29582,-2013,-9766,4936,1075,-11779,6011,-17790,-543,-2569,1838,395,-3112,2233,-5345,-1974,-9686,4951,1079,-11660,6030,-17690,7027,-25490,12803,-4450,-18463,8353,-26816,4597,-15388,7471,-2570,-10791,4901,-15692,1273,-3993,2819,-942,-2720,1877,-4597,4448,-15343,7467,-2572,-10895,4895,-15790,-80726
"20","Arizona 8th","AZ-08","Arizona",58.0960818758115,36.9638738257084,36.8689158646085,61.6760440496555,38.7933755602786,61.2066244397214,-12.2,-14.6,-14.9,12.2,14.6,14.9,190163,120992,12.2,0.619331444858801,0.621954262269955,0.6245699629544,0.627178414206663,0.629779484952909,0.645223789712229,0.642669660468608,0.640107399735141,0.637537128354472,0.634958968923163,0.624562713848546,0.640099389438723,14677,-409,688,-27183,14268,-26495,40763,8424,-229,438,-17014,8195,-16576,24771,2069,-55,179,-6850,2014,-6671,8685,8372,-230,437,-17056,8142,-16619,24761,26756,-11683,18357,-53545,15073,-35188,50261,15803,-6505,11898,-33490,9298,-21592,30890,3972,-1548,4957,-13366,2424,-8409,10833,15535,-6539,11805,-33553,8996,-21748,30744,69171
"21","Arizona 9th","AZ-09","Arizona",38.4421358190395,54.6594660100119,51.1197710942195,46.5911711010232,51.9693832273332,48.0306167726668,7.6,0.4,-1.7,-7.6,-0.4,1.7,109123,155158,-7.6,0.671419656805026,0.663001138052686,0.654477926485526,0.645854295182393,0.637134764459365,0.583086003251743,0.59227317287646,0.601396289561642,0.610449535158347,0.619427279886373,0.654377556196999,0.601326456146913,5325,-12520,12066,-5632,-7195,6434,-13629,3219,-7371,7291,-3368,-4152,3923,-8075,831,-1861,2842,-1293,-1030,1549,-2579,3178,-7351,7303,-3382,-4173,3921,-8094,19612,-25857,23285,-22372,-6245,913,-7158,12249,-15051,14291,-13431,-2802,860,-3662,3243,-3753,5652,-5126,-510,526,-1036,11945,-15073,14247,-13460,-3128,787,-3915,-46035
"9","Arkansas 1st","AR-01","Arkansas",64.9892412078998,30.1813844129842,36.3315780924021,60.9757081706519,40.3279023363238,59.6720976636762,-19.4,-14.6,-13.4,19.4,14.6,13.4,169438,78688,19.4,0.599609493336031,0.606546030874274,0.613439869830748,0.620288536320259,0.627089626437961,0.666771958817514,0.660302546630286,0.653772753569134,0.647184509714433,0.640539829355831,0.613394711359855,0.65371431961744,12448,2314,-4882,-28913,14762,-33795,48557,7006,1276,-3160,-18384,8282,-21544,29826,1689,301,-1318,-7527,1990,-8845,10835,6977,1280,-3148,-18409,8257,-21557,29814,20561,-5260,10352,-51643,15301,-41291,56592,11891,-2880,6838,-32758,9011,-25920,34931,2932,-673,2902,-13282,2259,-10380,12639,11720,-2898,6770,-32803,8822,-26033,34855,90750
"10","Arkansas 2nd","AR-02","Arkansas",52.3764227589307,41.6592284688606,42.9130130078799,54.7459104661299,45.1595855642862,54.8404144357138,-6.8,-8,-8.5,6.8,8,8.5,160782,127883,6.8,0.633872561617656,0.633352790024406,0.63283270795915,0.632312316448375,0.631791616521342,0.628660998204134,0.629183526859748,0.629705753332546,0.630227676576763,0.63074929554937,0.632832398514186,0.629705450104512,12224,-3356,4833,-19352,8868,-14519,23387,7118,-1909,3032,-11967,5209,-8935,14144,1773,-465,1226,-4757,1308,-3531,4839,7062,-1911,3029,-12005,5151,-8976,14127,24697,-14999,20166,-42229,9698,-22063,31761,14815,-8456,12882,-26127,6359,-13245,19604,3777,-2038,5292,-10303,1739,-5011,6750,14534,-8492,12799,-26184,6042,-13385,19427,32899
