County,State,Total Vote,Clinton Perc,Trump Perc,Clinton Vote,Trump Vote,Reg Democrats,Reg Republicans,Reg Other,Age,Gender,Edu,Income,Race
Adams,PA,47990,0.2963,0.6548,14219,31423,20173,35990,10555,0.194,0.507,0.217,60356,0.893
Allegheny,PA,657189,0.5594,0.3948,367617,259480,539900,259534,125197,0.180,0.517,0.378,53040,0.790
Armstrong,PA,31864,0.2253,0.7370,7178,23484,15782,22120,4650,0.213,0.503,0.150,44942,0.972
Beaver,PA,84462,0.3852,0.5703,32531,48167,59241,40793,13564,0.205,0.515,0.228,50581,0.897
Bedford,PA,23675,0.1540,0.8259,3645,19552,9465,21731,3264,0.213,0.500,0.135,45930,0.969
Berks,PA,184085,0.4261,0.5249,78437,96626,120217,100782,38801,0.165,0.508,0.232,55936,0.728
Blair,PA,55341,0.2522,0.7072,13958,39135,24080,44360,9394,0.202,0.511,0.196,43981,0.948
Bradford,PA,25986,0.2451,0.6981,6369,18141,10479,22376,4794,0.203,0.504,0.176,48987,0.961
Bucks,PA,345042,0.4842,0.4764,167060,164361,198007,188625,74200,0.176,0.509,0.374,77568,0.846
Butler,PA,98044,0.2915,0.6571,28584,64428,42272,69603,17853,0.180,0.505,0.323,60934,0.950
Cambria,PA,63589,0.2967,0.6645,18867,42258,45378,32756,8714,0.214,0.509,0.191,42107,0.930
Cameron,PA,2208,0.2405,0.7197,531,1589,1211,1652,369,0.252,0.504,0.157,39897,0.966
Carbon,PA,28993,0.3082,0.6465,8936,18743,18387,17683,6158,0.203,0.504,0.155,49973,0.923
Centre,PA,77307,0.4797,0.4563,37088,35274,51155,47653,24533,0.130,0.474,0.414,52186,0.857
Chester,PA,272998,0.5190,0.4253,141682,116114,136990,155458,62011,0.154,0.508,0.491,85976,0.800
Clarion,PA,17660,0.2420,0.7121,4273,12576,8249,13088,2753,0.188,0.511,0.201,42536,0.961
Clearfield,PA,34550,0.2373,0.7216,8200,24932,20717,26296,6213,0.198,0.477,0.132,42257,0.931
Clinton,PA,15505,0.3060,0.6464,4744,10022,9157,10190,2956,0.179,0.511,0.169,45078,0.953
Columbia,PA,28506,0.3134,0.6316,8934,18004,16135,18419,6314,0.181,0.518,0.211,45374,0.932
Crawford,PA,37813,0.2901,0.6608,10971,24987,19419,27642,6325,0.192,0.510,0.198,44579,0.950
Cumberland,PA,123486,0.3813,0.5594,47085,69076,55715,85322,25928,0.178,0.505,0.327,61820,0.865
Dauphin,PA,131783,0.4910,0.4618,64706,60863,86930,76863,26508,0.160,0.514,0.284,53754,0.665
Delaware,PA,299336,0.5927,0.3697,177402,110667,189167,171598,52089,0.156,0.519,0.360,65123,0.675
Elk,PA,14547,0.2649,0.6891,3853,10025,9526,8467,2251,0.214,0.498,0.168,46671,0.975
Erie,PA,125129,0.4644,0.4801,58112,60069,97597,67494,25131,0.166,0.506,0.261,45971,0.848
Fayette,PA,54099,0.3317,0.6394,17946,34590,48602,27923,7327,0.203,0.505,0.142,39636,0.920
Forest,PA,2419,0.2588,0.6957,626,1683,1269,1750,311,0.224,0.323,0.085,35533,0.732
Franklin,PA,70506,0.2477,0.7059,17465,49768,25117,54576,13325,0.189,0.508,0.190,53916,0.884
Fulton,PA,6822,0.1337,0.8347,912,5694,2537,5714,936,0.202,0.494,0.131,48311,0.962
Greene,PA,15868,0.2825,0.6837,4482,10849,12474,8060,2056,0.179,0.481,0.177,46661,0.937
Huntingdon,PA,19866,0.2285,0.7296,4539,14494,9214,17484,3083,0.195,0.468,0.143,44396,0.909
Indiana,PA,38122,0.3024,0.6529,11528,24888,20612,24193,7048,0.182,0.499,0.226,45195,0.940
Jefferson,PA,19595,0.1863,0.7753,3650,15192,9579,16971,3376,0.201,0.503,0.146,42903,0.972
Juniata,PA,10545,0.1727,0.7845,1821,8273,3970,8444,1426,0.205,0.500,0.131,47398,0.946
Lackawanna,PA,104404,0.4979,0.4634,51983,48384,91046,42553,14505,0.195,0.516,0.259,46271,0.862
Lancaster,PA,244832,0.3721,0.5633,91093,137914,108172,174365,53254,0.171,0.510,0.252,57721,0.824
Lawrence,PA,41076,0.3411,0.6190,14009,25428,27516,23368,6165,0.207,0.516,0.197,44571,0.923
Lebanon,PA,62503,0.3032,0.6484,18953,40525,27298,47199,12381,0.189,0.509,0.196,55499,0.828
Lehigh,PA,162733,0.4997,0.4528,81324,73690,115745,80623,39713,0.164,0.512,0.285,56117,0.659
Luzerne,PA,135901,0.3860,0.5790,52451,78688,108055,74116,23161,0.195,0.506,0.214,45897,0.832
Lycoming,PA,51131,0.2546,0.6968,13020,35627,22442,38125,9197,0.184,0.509,0.204,47313,0.909
McKean,PA,16464,0.2445,0.7067,4025,11635,7312,14198,3401,0.188,0.483,0.167,43965,0.933
Mercer,PA,52839,0.3545,0.5970,18733,31544,34096,33047,10122,0.207,0.506,0.215,44156,0.903
Mifflin,PA,18721,0.2071,0.7528,3877,14094,7599,15559,2775,0.210,0.509,0.116,41288,0.960
Monroe,PA,70008,0.4845,0.4769,33918,33386,51884,36339,21024,0.161,0.505,0.230,57365,0.670
Montgomery,PA,438652,0.5838,0.3710,256082,162731,272287,215777,89354,0.172,0.514,0.469,80675,0.764
Montour,PA,8556,0.3339,0.6180,2857,5288,4742,6295,2061,0.206,0.518,0.288,54648,0.916
Northampton,PA,144566,0.4584,0.4962,66272,71736,99075,73473,38854,0.182,0.508,0.272,60972,0.775
Northumberland,PA,36888,0.2653,0.6893,9788,25427,21711,27678,7107,0.203,0.498,0.146,42406,0.927
Perry,PA,21371,0.2167,0.7307,4632,15616,7177,18045,3505,0.170,0.494,0.160,57177,0.956
Philadelphia,PA,709618,0.8230,0.1532,584025,108748,853091,125557,123912,0.129,0.527,0.254,38253,0.349
Pike,PA,26284,0.3522,0.6109,9256,16056,13972,17802,8313,0.218,0.498,0.237,60180,0.810
Potter,PA,7864,0.1656,0.7949,1302,6251,2844,7051,1110,0.228,0.500,0.157,40654,0.966
Schuylkill,PA,63385,0.2646,0.6942,16770,44001,33846,43996,10147,0.200,0.489,0.154,45535,0.916
Snyder,PA,16486,0.2428,0.7112,4002,11725,5587,13863,2814,0.174,0.506,0.165,49917,0.949
Somerset,PA,36073,0.2045,0.7590,7376,27379,17611,27363,4719,0.214,0.479,0.153,44587,0.945
Sullivan,PA,3152,0.2379,0.7268,750,2291,1526,2422,456,0.278,0.477,0.161,44189,0.931
Susquehanna,PA,19043,0.2690,0.6769,5123,12891,8035,15002,3336,0.214,0.497,0.171,50477,0.962
Tioga,PA,18507,0.2108,0.7356,3901,13614,7183,15892,3517,0.207,0.504,0.196,46494,0.962
Union,PA,17696,0.3492,0.6002,6180,10622,7625,12910,4134,0.166,0.447,0.205,49803,0.839
Venango,PA,23530,0.2681,0.6809,6309,16021,11081,17516,4058,0.211,0.507,0.158,43644,0.960
Warren,PA,18434,0.2791,0.6768,5145,12477,10502,15118,4526,0.216,0.498,0.181,44020,0.968
Washington,PA,102267,0.3552,0.6003,36322,61386,68026,55307,15502,0.197,0.510,0.274,56450,0.924
Wayne,PA,24018,0.2918,0.6763,7008,16244,10152,18116,5415,0.219,0.468,0.197,49919,0.906
Westmoreland,PA,183492,0.3252,0.6350,59669,116522,113582,103853,28585,0.217,0.512,0.264,52247,0.940
Wyoming,PA,13255,0.2875,0.6667,3811,8837,5350,9592,1923,0.199,0.498,0.182,51004,0.956
York,PA,208029,0.3294,0.6178,68524,128528,102563,147452,45880,0.166,0.506,0.228,58269,0.840
